id,commune_id,commune_name,arrondissement_id,postal_code_prefix
1,HT0111,Port-au-Prince,1,HT611
2,HT0112,Delmas,1,HT612
3,HT0113,Carrefour,1,HT613
4,HT0114,Pétion-Ville,1,HT614
5,HT0115,Kenscoff,1,HT615
6,HT0116,Gressier,1,HT616
7,HT0117,Cité Soleil,1,HT617
8,HT0118,Tabarre,1,HT618
9,HT0121,Léogâne,2,HT621
10,HT0122,Petit-Goâve,2,HT622
11,HT0123,Grand-Goâve,2,HT623
12,HT0131,Croix-Des-Bouquets,3,HT631
13,HT0132,Thomazeau,3,HT632
14,HT0133,Ganthier,3,HT633
15,HT0134,Cornillon / Grand Bois,3,HT634
16,HT0135,Fonds-Verrettes,3,HT635
17,HT0141,Arcahaie,4,HT641
18,HT0142,Cabaret,4,HT642
19,HT0151,Anse à Galets,5,HT651
20,HT0152,Pointe à Raquette,5,HT652
21,HT0211,Jacmel,6,HT011
22,HT0212,Marigot,6,HT012
23,HT0213,Cayes-Jacmel,6,HT013
24,HT0214,La Vallée,6,HT014
25,HT0221,Bainet,7,HT021
26,HT0222,Côtes de Fer,7,HT022
27,HT0231,Belle Anse,8,HT031
28,HT0232,Grand Gosier,8,HT032
29,HT0233,Thiotte,8,HT033
30,HT0234,Anse-à-Pître,8,HT034
31,HT0311,Cap-Haïtien,9,HT111
32,HT0312,Quartier Morin,9,HT112
33,HT0313,Limonade,9,HT113
34,HT0321,Acul du Nord,10,HT121
35,HT0322,Plaine du Nord,10,HT122
36,HT0323,Milot,10,HT123
37,HT0331,Grande Rivière du Nord,11,HT131
38,HT0332,Bahon,11,HT132
39,HT0341,Saint-Raphaël,12,HT141
40,HT0342,Dondon,12,HT142
41,HT0343,Ranquitte,12,HT143
42,HT0344,Pignon,12,HT144
43,HT0345,La Victoire,12,HT145
44,HT0351,Borgne,13,HT151
45,HT0352,Port-Margot,13,HT152
46,HT0361,Limbé,14,HT161
47,HT0362,Bas Limbé,14,HT162
48,HT0371,Plaisance,15,HT171
49,HT0372,Pilate,15,HT172
50,HT0411,Fort-Liberté,16,HT211
51,HT0412,Ferrier,16,HT212
52,HT0413,Perches,16,HT213
53,HT0421,Ouanaminthe,17,HT221
54,HT0422,Capotille,17,HT222
55,HT0423,Mont-Organisé,17,HT223
56,HT0431,Trou du Nord,18,HT231
57,HT0432,Sainte Suzanne,18,HT232
58,HT0433,Terrier Rouge,18,HT233
59,HT0434,Caracol,18,HT234
60,HT0441,Vallières,19,HT241
61,HT0442,Carice,19,HT242
62,HT0443,Mombin Crochu,19,HT243
63,HT0511,Gonaïves,20,HT411
64,HT0512,Ennery,20,HT412
